B_T,Delta_inter_min_MHz
0.837,0.7030420913488751
0.8380000000000001,0.7078395337740746
0.839,0.7126369761992741
0.8400000000000001,0.7174344186244737
0.841,0.7222318610496723
0.8420000000000001,0.7270293034748727
0.843,0.7318267459000714
0.8440000000000001,0.7366241883252718
0.845,0.7414216307504704
0.8460000000000001,0.7462190731756708
0.847,0.7510165156008695
0.8480000000000001,0.755813958026069
0.849,0.7606114004512685
0.8500000000000001,0.765408842876468
0.851,0.7702062853016667
0.8520000000000001,0.7750037277268671
0.853,0.7798011701520657
0.8540000000000001,0.7845986125772662
0.855,0.7893960550024648
0.8560000000000001,0.7941934974276643
0.857,0.7989909398528638
0.8580000000000001,0.8037883822780634
0.859,0.8085858247032629
0.8600000000000001,0.8133832671284624
0.861,0.8181807095536611
0.8620000000000001,0.8229781519788615
0.863,0.8277755944040601
0.8640000000000001,0.8325730368292605
0.865,0.8373704792544592
0.8660000000000001,0.8421679216796587
0.867,0.8469653641048582
0.8680000000000001,0.8517628065300578
0.869,0.8565602489552573
0.8700000000000001,0.8613576913804568
0.871,0.8661551338056555
0.8720000000000001,0.8709525762308559
0.873,0.8757500186560545
0.8740000000000001,0.8805474610812549
0.875,0.8853449035064536
0.8760000000000001,0.8901423459316531
0.877,0.8949397883568526
0.8780000000000001,0.8997372307820521
0.879,0.9045346732072508
0.8800000000000001,0.9093321156324512
0.881,0.9141295580576498
0.8820000000000001,0.9189270004828503
0.883,0.9237244429080489
0.8840000000000001,0.9285218853332493
0.885,0.933319327758448
0.8860000000000001,0.9381167701836475
0.887,0.942914212608847
0.8880000000000001,0.9477116550340465
0.889,0.9525090974592452
0.8900000000000001,0.9573065398844456
0.891,0.9621039823096442
0.8920000000000001,0.9669014247348446
0.893,0.9716988671600433
0.8940000000000001,0.9764963095852428
0.895,0.9812937520104423
0.8960000000000001,0.9860911944356419
0.897,0.9908886368608414
0.8980000000000001,0.9956860792860409
0.899,1.0004835217112396
0.9000000000000001,1.00528096413644
0.901,1.0100784065616386
0.9020000000000001,1.014875848986839
0.903,1.0196732914120377
0.9039999999999999,1.0244707338372363
0.905,1.0292681762624367
0.9059999999999999,1.0340656186876354
0.907,1.0388630611128349
0.9079999999999999,1.0436605035380344
0.909,1.048457945963234
0.9099999999999999,1.0532553883884335
0.911,1.058052830813633
0.9119999999999999,1.0628502732388316
0.913,1.067647715664032
0.9139999999999999,1.0724451580892307
0.915,1.077242600514431
0.9159999999999999,1.0820400429396297
0.917,1.0868374853648293
0.9179999999999999,1.0916349277900288
0.919,1.0964323702152283
0.9199999999999999,1.101229812640427
0.921,1.1060272550656274
0.9219999999999999,1.110824697490826
