B_T,worst_MHz,p05_MHz,median_MHz,p95_MHz,best_MHz,limiting_index,limit_kappa_MHz,limit_gz,limit_Btip_T,limit_phi_deg,limit_Az_MHz,limit_Aperp_over_Az,limit_gperp_over_gz
1.0270000000000001,1.1772439870724156,1.1939751021005578,1.3686946958775934,1.6144222235543566,1.6145519559649983,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.028,1.1822625240120033,1.193833294228898,1.3736260780656266,1.6192200549117843,1.6193494343688144,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.029,1.187280666589686,1.1932033195179883,1.378557223439202,1.6240178848830964,1.624146912661672,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.03,1.1840170368554936,1.1919280580251326,1.3834881326299637,1.6288157134528318,1.628944390833567,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0310000000000001,1.179323098160694,1.1872273371044684,1.388370850008414,1.6336135406494123,1.633741868893594,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.032,1.1746289821480786,1.1825264503833295,1.3932260491428679,1.6384113664690176,1.6385393468408438,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.033,1.169934689245565,1.177825398289724,1.3980906681631495,1.6432091909141717,1.6433368246753162,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.034,1.1652402199410972,1.1731241812674853,1.40301484706265,1.6480070139998815,1.6481343023988302,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0350000000000001,1.160545574643038,1.1684227997137442,1.4079216817713132,1.6528048357244416,1.6529317800068384,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.036,1.155850753836603,1.1637212540522797,1.4128021368464942,1.6545659331841307,1.6546648506591737,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.037,1.1511557579392502,1.1590195446987308,1.4176582189602414,1.6497687749123997,1.649867427636309,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.038,1.1464605874066365,1.1543176721000692,1.422558241840079,1.6449716156096201,1.6450700045206759,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0390000000000001,1.1417652426807763,1.149615636629369,1.4274529574327062,1.640174455283136,1.6402725813286452,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.04,1.1370697242041388,1.1449134387189588,1.4323086611152576,1.6353772939356985,1.635475158045665,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.041,1.1323740324223763,1.1402110787685615,1.4372535002144105,1.6305801315713553,1.6306777346826493,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.042,1.1276781677802319,1.1355085572268764,1.44218119198581,1.6257829682010878,1.6258803112332316,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0430000000000001,1.122982130692435,1.130805874455018,1.4471692071176676,1.62098580382019,1.621082887699231,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.044,1.1182859216146426,1.126103030888362,1.4521533206152526,1.616188638434187,1.6162854640888327,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.045,1.113589540970679,1.1214000269301778,1.4570813544112298,1.6113914720569937,1.6114880403865754,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.046,1.1088929892121087,1.1166968629665006,1.4620091602023422,1.6065943046824487,1.6066906166161061,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0470000000000002,1.1041962667331973,1.1119935394398,1.4669367386024987,1.601797136323603,1.6018931927574158,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.048,1.0994993740105201,1.1072900567197848,1.471864090195595,1.596999966976955,1.5970957688159615,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.049,1.0948023114415264,1.1025864152132272,1.4752893266381761,1.5922027966464611,1.5922983447962906,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.05,1.090105079465502,1.0978826153304453,1.4771166668556361,1.5874056253478557,1.5875009206974937,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0510000000000002,1.0854076784980862,1.093178657473254,1.4780332253189954,1.5826084530712705,1.5827034965077473,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.052,1.0807101089840216,1.0884745420110904,1.4781043433874856,1.5778112798318944,1.5779060722506983,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.053,1.0760123713280336,1.0837702693629125,1.4781753408049099,1.5730141056295905,1.5731086479054284,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.054,1.0713144659512182,1.0790658399352195,1.4782462178895912,1.5682169304621767,1.5683112234883083,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0550000000000002,1.0666163932901327,1.0743612540889445,1.4783169749150602,1.5634197543447044,1.5635137989893337,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.056,1.0619181537531404,1.0696565122408628,1.4783876122162383,1.563887360433546,1.5640073563017722,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.057,1.0572197477613372,1.064951614764368,1.47845813008621,1.5686851537920803,1.568804831579655,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.058,1.0525211757121724,1.0602465620621389,1.478528528822153,1.573482945927458,1.5736023067502174,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0590000000000002,1.0478224380622123,1.055541354524894,1.4770057251066646,1.5782807368430667,1.5783997818252828,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.06,1.0431235351670693,1.0508359925223885,1.4722646416926182,1.583078526546251,1.583197256796666,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.061,1.0384244674814909,1.046130476453527,1.4675234647161233,1.5878763150398754,1.587994731672552,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.062,1.0337252354220254,1.0414248067056633,1.4627821944400239,1.5926741023260775,1.5927922064474842,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0630000000000002,1.0290258393824843,1.0367189836507804,1.4580408310648636,1.597471888414475,1.5975896811214625,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.064,1.024326279748493,1.0320130076572696,1.4532993748512126,1.6022696733036128,1.6023871556999438,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.065,1.0196265569638854,1.0273068791404512,1.4485578259900649,1.6070674570220944,1.6071846301801997,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.066,1.0149266714161058,1.0226005984660334,1.4438161847333504,1.6118652395500703,1.6119821045595017,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0670000000000002,1.0102266235098796,1.0178941659991323,1.439458447978268,1.6166630208953392,1.6167795788442163,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.068,1.0055264136517508,1.013187582116916,1.4395625607303373,1.6214608010841858,1.621577053037072,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.069,1.0008260422391686,1.0084808472277473,1.439666496292375,1.626258580091826,1.6263745271289736,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.07,0.9961255096732202,1.003773961662955,1.4397702550963913,1.6310563579415884,1.6311720011281068,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0710000000000002,0.9914248163595403,0.9990669258149865,1.4398738376112306,1.6358541346370203,1.6359694750271956,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.072,0.9867239626819355,0.9943597400502767,1.4399772442752692,1.6406519101846697,1.640766948837154,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.073,0.9820229490533166,0.9896524047622733,1.440080475540526,1.6454496845855828,1.6455644225488868,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.074,0.9773217758647661,0.9849449202888991,1.4401835318476515,1.6502474578350756,1.6503618961669417,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0750000000000002,0.9726204434937245,0.9802372870326508,1.439398680047816,1.6550452299582958,1.6551593696940472,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.076,0.9679189523485547,0.9755295053037116,1.4355798680353473,1.6598430009421008,1.6599568431265652,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.077,0.9632173028048783,0.970821575515265,1.4316970711706745,1.6646407708046354,1.6647543164672243,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.078,0.9585154952756056,0.9661134980277438,1.4301412293084468,1.6694385395407152,1.6695517897132959,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0790000000000002,0.9538135301181683,0.9614053209746544,1.4302526086480611,1.6742363071686213,1.6743492628693275,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.08,0.9491114077500242,0.9566972224167329,1.427209970279364,1.6790340736774396,1.6791467359325907,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.081,0.9444091285495233,0.9519889762503226,1.422425711840333,1.68383183907913,1.6839442089039949,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.082,0.9397066928841014,0.9472805828501351,1.4176414326620943,1.688629603389245,1.6887416817844496,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0830000000000002,0.9350041011493886,0.9425718522082661,1.4128571327505597,1.6934273665940054,1.6935391545785023,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.084,0.9303013537510196,0.9378629317385275,1.4080728121757602,1.6982251286985046,1.6983366272779676,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.085,0.9255984510382405,0.9331538659769649,1.4032884709722566,1.703022889717431,1.7031340998919404,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.086,0.9208953933939483,0.9284446552595,1.3985041091955281,1.7078206496627444,1.7079315724140542,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0870000000000002,0.9161921811773936,0.9237352999617088,1.3937197269037824,1.7126184085154819,1.7127290448470376,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.088,0.9114888148296814,0.9190258004182852,1.3889353241261233,1.7174161663065206,1.7175265171918,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.089,0.9067852946536732,0.9143161569955283,1.384150900919849,1.7222139230276299,1.7223239894528888,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.09,0.9020816211004785,0.9096063700179912,1.379366457324977,1.7270116786678955,1.7271214616184807,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0910000000000002,0.8973777944474932,0.9048964398910357,1.3745819933783423,1.731809433263561,1.731918933704037,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.092,0.8926738151576501,0.9001863669112027,1.3697975091504304,1.7366071867962547,1.7367164056977344,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.093,0.8879696835501818,0.8954761514431538,1.3650130046830782,1.7414049392832567,1.7415138776041204,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.094,0.883265400021628,0.8907657938143074,1.360228479993566,1.7462026907222026,1.7463113494268327,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0950000000000002,0.8785609649276012,0.8860552944109713,1.3554439351655674,1.7508748299289891,1.7509596153986422,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.096,0.8738563786355371,0.8813446535476033,1.3506593702227292,1.7460776180501854,1.7461621879519953,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.097,0.8691516415110527,0.8766338715952771,1.3458747852159831,1.74128040536375,1.7413647604362268,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.098,0.8644467539261314,0.871922948847805,1.341090180185347,1.7364831919010157,1.7365673328567937,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0990000000000002,0.8597417162418424,0.8672118856904035,1.3363055551953948,1.7316859776461115,1.731769905213696,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.1,0.8550365288083412,0.8625006824352568,1.3315209102756853,1.7268887626062224,1.726972477506024,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.101,0.8503311920148917,0.8577893394393868,1.3267362454666909,1.7220915467750273,1.7221750497274115,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.102,0.8456257061907309,0.8530778570331676,1.3219515608284382,1.7172943301596206,1.717377621891501,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.1030000000000002,0.8409200717287604,0.8483662355620254,1.3171668563959429,1.7124971127919708,1.7125801939901066,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.104,0.8362142889482129,0.8436544753464205,1.3123821322064941,1.7076998946372897,1.7077827660223193,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.105,0.8315083582529041,0.8389425767180455,1.3075973883333063,1.7029026757121302,1.7029853379954147,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.106,0.8268022799575192,0.834230540027147,1.3028126247868386,1.6981054560156281,1.698187909902117,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.1070000000000002,0.8220960544413174,0.8295183656012796,1.2980278416303008,1.6933082355652913,1.6933904817497023,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.108,0.8173896820217124,0.8248060537719993,1.2932430389059846,1.6885110143498878,1.688593053529985,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.109,0.8126831631261666,0.8200936048583116,1.288458216665731,1.683713792378785,1.6837956252493314,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.11,0.8079764980311666,0.8153810192034598,1.2836733749463747,1.6789165696614874,1.6789981969022847,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
