label,kappa_abs_MHz,B_T,delta_inter_min_leading_MHz
current_49Ti,46.3738,1.7380000000000009,1.5992803518221734
current_49Ti,46.3738,1.740000000000001,1.589685458260238
current_49Ti,46.3738,1.7420000000000009,1.5800905646983043
current_49Ti,46.3738,1.744000000000001,1.570495671136369
current_49Ti,46.3738,1.7460000000000009,1.560900777574437
current_49Ti,46.3738,1.748000000000001,1.5513058840125016
current_49Ti,46.3738,1.7500000000000009,1.541710990450568
current_49Ti,46.3738,1.7520000000000011,1.5321160968886343
current_49Ti,46.3738,1.754000000000001,1.5225212033267006
current_49Ti,46.3738,1.7560000000000011,1.5129263097647652
current_49Ti,46.3738,1.758000000000001,1.5033314162028315
current_49Ti,46.3738,1.7600000000000011,1.4937365226408978
current_49Ti,46.3738,1.762000000000001,1.4841416290789642
current_49Ti,46.3738,1.7640000000000011,1.4745467355170288
current_49Ti,46.3738,1.766000000000001,1.4649518419550969
current_49Ti,46.3738,1.7680000000000011,1.4553569483931614
current_49Ti,46.3738,1.770000000000001,1.4457620548312278
current_49Ti,46.3738,1.7720000000000011,1.4361671612692923
current_49Ti,46.3738,1.774000000000001,1.4265722677073605
current_49Ti,46.3738,1.7760000000000011,1.416977374145425
current_49Ti,46.3738,1.778000000000001,1.4073824805834914
current_49Ti,46.3738,1.7800000000000011,1.397787587021556
current_49Ti,46.3738,1.782000000000001,1.388192693459624
current_49Ti,46.3738,1.7840000000000011,1.3785977998976886
current_49Ti,46.3738,1.786000000000001,1.369002906335755
current_49Ti,46.3738,1.7880000000000011,1.3594080127738213
current_49Ti,46.3738,1.790000000000001,1.3498131192118876
current_49Ti,46.3738,1.7920000000000011,1.3402182256499522
current_49Ti,46.3738,1.794000000000001,1.3306233320880203
current_49Ti,46.3738,1.7960000000000012,1.3210284385260849
current_49Ti,46.3738,1.798000000000001,1.3114335449641512
current_49Ti,46.3738,1.8000000000000012,1.3018386514022158
3MHz_ceiling_target,84.0,0.6,2.878468068580212
3MHz_ceiling_target,84.0,0.602,2.8880629621421456
3MHz_ceiling_target,84.0,0.604,2.8976578557040797
3MHz_ceiling_target,84.0,0.606,2.907252749266014
3MHz_ceiling_target,84.0,0.608,2.916847642827948
3MHz_ceiling_target,84.0,0.61,2.926442536389882
3MHz_ceiling_target,84.0,0.612,2.936037429951816
3MHz_ceiling_target,84.0,0.614,2.9456323235137503
3MHz_ceiling_target,84.0,0.616,2.9552272170756844
3MHz_ceiling_target,84.0,0.618,2.964822110637618
3MHz_ceiling_target,84.0,0.62,2.974417004199552
3MHz_ceiling_target,84.0,0.622,2.9840118977614862
3MHz_ceiling_target,84.0,0.624,2.9936067913234203
3MHz_ceiling_target,84.0,0.626,2.9967983151146456
3MHz_ceiling_target,84.0,0.628,2.9872034215527115
3MHz_ceiling_target,84.0,0.63,2.9776085279907774
3MHz_ceiling_target,84.0,0.632,2.9680136344288433
3MHz_ceiling_target,84.0,0.634,2.9584187408669096
3MHz_ceiling_target,84.0,0.636,2.9488238473049755
3MHz_ceiling_target,84.0,0.638,2.9392289537430414
3MHz_ceiling_target,84.0,0.64,2.9296340601811073
3MHz_ceiling_target,84.0,0.642,2.920039166619173
3MHz_ceiling_target,84.0,0.644,2.910444273057239
3MHz_ceiling_target,84.0,0.646,2.900849379495305
3MHz_ceiling_target,84.0,0.648,2.891254485933371
3MHz_ceiling_target,84.0,0.65,2.881659592371437
3MHz_ceiling_target,84.0,0.652,2.872064698809503
3MHz_ceiling_target,84.0,0.654,2.862469805247569
3MHz_ceiling_target,84.0,0.656,2.852874911685635
3MHz_ceiling_target,84.0,0.658,2.843280018123701
3MHz_ceiling_target,84.0,0.66,2.8336851245617667
3MHz_ceiling_target,84.0,0.662,2.8240902309998326
3MHz_ceiling_target,84.0,0.664,2.8144953374378985
3MHz_ceiling_target,84.0,0.666,2.804900443875965
3MHz_ceiling_target,84.0,0.668,2.7953055503140307
3MHz_ceiling_target,84.0,0.67,2.7857106567520966
3MHz_ceiling_target,84.0,0.672,2.7761157631901625
3MHz_ceiling_target,84.0,0.674,2.7665208696282284
3MHz_ceiling_target,84.0,0.676,2.7569259760662943
3MHz_ceiling_target,84.0,0.678,2.74733108250436
3MHz_ceiling_target,84.0,0.68,2.737736188942426
3MHz_ceiling_target,84.0,0.682,2.7281412953804924
3MHz_ceiling_target,84.0,0.684,2.7185464018185583
3MHz_ceiling_target,84.0,0.686,2.7089515082566242
3MHz_ceiling_target,84.0,0.6880000000000001,2.69935661469469
3MHz_ceiling_target,84.0,0.6900000000000001,2.689761721132756
3MHz_ceiling_target,84.0,0.6920000000000001,2.680166827570822
3MHz_ceiling_target,84.0,0.6940000000000001,2.670571934008888
3MHz_ceiling_target,84.0,0.6960000000000001,2.6609770404469537
3MHz_ceiling_target,84.0,0.6980000000000001,2.65138214688502
3MHz_ceiling_target,84.0,0.7000000000000001,2.641787253323086
3MHz_ceiling_target,84.0,0.7020000000000001,2.632192359761152
3MHz_ceiling_target,84.0,0.7040000000000001,2.6225974661992177
